name	month_average	overall	Correlation Coefficient
MrJulesKnight.xml	6	9	
MrsdogC.xml	0	0	
mrs_writer.xml	0	0	
Ms_ConsuelaFG.xml	0	0	
mstohl.xml	0	0	
MusleraOfficial.xml	0	0	
mynameisdanille.xml	0	0	
natoshacecelia.xml	0	0	
NatoshaEdwards.xml	4	9	
NatoshaKay.xml	2	8	
nedboulting.xml	0	0	
NedRaggett.xml	7	9	
nedtheband.xml	0	0	
ned_vizzini.xml	0	0	
NellFrizzell.xml	4	9	
NellSco.xml	5	14	
nenaofficial.xml	0	0	
NeonBMC.xml	4	6	
NiaKeturah.xml	0	0	
NIHDirector.xml	0	0	
nminow.xml	0	0	
NovaGiovanni.xml	9	9	
omphe.xml	0	0	
osotrava.xml	0	0	
oswaldenzz.xml	0	0	
oswaldominda85.xml	0	0	
_oswie.xml	0	0	
pabloalboran.xml	0	0	
pablovillaca.xml	0	0	
pablo_zabaleta.xml	0	0	
pagemagen.xml	0	0	
PastorChoco.xml	0	0	
pat_loria.xml	0	0	
PBandJenelley_1.xml	8	9	
peggieboy73.xml	0	0	
pegkd.xml	0	0	
PeggieWalker.xml	1	6	
PersonalGenius.xml	0	0	
phoebedykstra.xml	0	0	
PhoebeLettice.xml	0	0	
Pontifex.xml	0	0	
portereduardo.xml	0	0	
praiZe.xml	0	0	
qui_sewsweet.xml	0	0	
quitapooh11.xml	0	0	
RachelStarrxxx.xml	8	14	
RadioBethany.xml	7	9	
RagstoStitches.xml	0	0	
RamoKarri.xml	2	7	
RandallGrahm.xml	8	9	
Randallsanimals.xml	0	0	
RealDonitaRose.xml	2	9	
RealJulesStew.xml	71	19	
RedZoneMarketer.xml	0	0	
RepCParker.xml	0	0	
resnikoff.xml	0	0	
restaurantgirl.xml	0	0	
richardlai.xml	0	0	
rmlimodriver69.xml	0	0	
robynbodytalkin.xml	0	0	
robynkonichiwa.xml	0	0	
RobynRossTVG.xml	5	9	
Ronnie2K.xml	9	41	
RonnieFieg.xml	9	9	
ronnieo147.xml	0	0	
RonnieRadke.xml	0	[]	
rooroo12.xml	0	0	
RoRoCzech.xml	0	0	
RosannJones.xml	3	21	
Rosann.xml	8	9	
ryanharrison92.xml	0	0	
Sadieliza.xml	2	8	
sadierob.xml	0	0	
SadieStein.xml	1	9	
SeemaCNBC.xml	3	15	
seemakalia.xml	0	0	
seemasadekar.xml	0	0	
seemasirohi.xml	0	0	
sethclifford.xml	0	0	
ShaQuitaJana.xml	0	0	
shaundaleigh.xml	20	22	
shaunda.xml	0	0	
SheIsHipHop.xml	0	0	
sheldoncandis.xml	2	8	
SherlynChan.xml	8	8	
sherlyn_chopra5.xml	0	0	
SherlynChopra.xml	6	9	
sherlynroy.xml	0	0	
sherlyny.xml	8	19	
SHERRYLsWorLD.xml	0	1	
SherrylWShastri.xml	1	10	
shespeaking.xml	0	0	
Shontelle_Layne.xml	5	9	
simdesilvestro.xml	0	0	
simonasanchez.xml	0	0	
simona.xml	0	0	
simonazivkovska.xml	0	0	
Simo_Ventura.xml	0	0	
sjones93.xml	0	0	
skipow.xml	0	0	
slj34.xml	0	0	
socialmediavcr.xml	0	0	
SouthernGrrrlNZ.xml	0	0	
sparkleocean.xml	0	0	
StarrRestaurant.xml	0	0	
statesman.xml	0	0	
stephcliff.xml	0	0	
stephermine.xml	0	0	
steveaustinBSR.xml	0	0	
st_evel_ai.xml	0	0	
stowwoldlass.xml	0	0	
SuanneBraun.xml	6	9	
Sulliview.xml	0	0	
sutterink.xml	0	0	
Swan5280.xml	0	0	
SylvainArmand.xml	2	8	
tamatha.xml	0	0	
tammy_ray.xml	0	0	
tangelaekhoff.xml	0	0	
Tangela_Oficial.xml	0	0	
TangelaWCraft.xml	3	9	
tapscout.xml	0	0	
TeofilaT.xml	0	0	
tERetorial.xml	0	0	
terrestrialLife.xml	0	0	
tgotnext.xml	0	0	
thecodyswagge.xml	0	0	
TheConsuelaMaid.xml	55	9	
TheCubicleChick.xml	0	0	
thefabians.xml	0	0	
thegirlinpink5.xml	0	0	
TheHannaBeth.xml	8	9	
the_prune.xml	0	0	
VassB.xml	0	0	
TheRealMarilu.xml	2	9	
theresiamalik.xml	0	0	
theresia_steve.xml	1	8	
theresiatanzil.xml	0	0	
ThisisDavina.xml	7	10	
thisisstargirl.xml	0	0	
thruJULESlens.xml	0	0	
TiloJung.xml	7	9	
TinyCarlJung.xml	1	1	
ToneItUp.xml	6	9	
ToriiiShawntaaa.xml	0	0	
toshahutchings.xml	0	0	
TrudiCanavan.xml	6	9	
trudinelson.xml	0	0	
trudishaffer.xml	0	0	
tw0lipswithfang.xml	0	0	
unhealthytruth.xml	0	0	
UrbanRevisions.xml	0	0	
vwoelm.xml	0	0	
UrNDyerNeedOfMe.xml	0	0	
valbeauvineau.xml	0	0	
ValentinTopChef.xml	4	8	
Valentin.xml	0	0	
Vasiliki_M.xml	1	7	
VictorMoses.xml	290	9	
VinaCandrawati.xml	2	9	
vinadelmar.xml	0	0	
vinaunder.xml	0	0	
vinavnok.xml	0	0	
vingewan.xml	0	0	
VisitAustinTX.xml	3	9	
welchess.xml	0	0	
Wenger13.xml	0	0	
Wilfredo_Rosado.xml	1	9	
wilfredotweets.xml	0	0	
wsanchez.xml	0	0	
xFAWNx.xml	0	0	
xtenalongeway.xml	0	0	
_YoManWantMeTho.xml	0	0	
zettewil.xml	0	0	
